sample,reading,value
2-1,50,1354516
2-1,51,1354493
2-1,52,1354654
2-1,53,1354700
2-1,54,1354631
2-1,55,1354654
2-1,56,1354723
2-1,57,1354792
2-1,58,1354815
2-1,59,1354815
2-1,60,1354746
2-1,61,1354838
2-1,62,1354884
2-1,63,1354930
2-1,64,1354953
2-1,65,1354792
2-1,66,1354769
2-1,67,1354769
2-1,68,1354723
2-1,69,1354723
2-1,70,1354516
2-1,71,1354654
2-1,72,1354608
2-1,73,1354516
2-1,74,1354493
2-1,75,1354401
2-1,76,1354424
2-1,77,1354332
2-1,78,1354286
2-1,79,1354240
2-1,80,1354332
2-1,81,1354263
2-1,82,1354240
2-1,83,1354148
2-1,84,1354125
2-1,85,1354079
2-1,86,1353964
2-1,87,1353872
2-1,88,1353803
2-1,89,1353757
2-1,90,1353734
2-1,91,1353688
2-1,92,1353619
2-1,93,1353504
2-1,94,1353389
2-1,95,1353251
2-1,96,1353136
2-1,97,1353067
2-1,98,1353044
2-1,99,1352906
2-1,100,1352837
